,Theme,상황,매너 명칭,액션 가이드,따뜻한 한 줄,플래시카드,
,교실의 온도 (수업 및 학습 매너),수업 시작,정시의 예우,수업 종이 울리기 전 자리에 앉아 교과서를 펴두기,"""당신의 준비된 자세가 수업의 공기를 차분하게 만듭니다.""",,
,교실의 온도 (수업 및 학습 매너),유인물 배부,방향의 배려,뒷사람에게 종이를 건넬 때 글자가 바로 보이도록 돌려주기,"""작은 방향의 전환이 타인의 수고를 한 걸음 덜어줍니다.""",,
,교실의 온도 (수업 및 학습 매너),친구의 발표,경청의 박수,발표가 끝난 친구에게 내용과 상관없이 따뜻한 박수 보내기,"""당신의 박수는 떨리던 누군가의 마음을 용기로 바꿉니다.""",,
,교실의 온도 (수업 및 학습 매너),필기구 대여,감사의 반납,빌린 펜은 고맙다는 인사와 함께 수업 직후 바로 돌려주기,"""물건을 소중히 다루는 마음은 신뢰라는 열매를 맺습니다.""",,
,교실의 온도 (수업 및 학습 매너),잠든 친구,다정한 깨움,잠든 친구를 깨울 땐 갑자기 소리치기보다 어깨를 살며시 두드리기,"""무안하지 않게 배려하는 손길에 우정이 깃듭니다.""",,
,교실의 온도 (수업 및 학습 매너),교탁 정돈,칠판의 마침표,수업 후 흩어진 분필과 지우개를 가지런히 정돈해두기,"""정돈된 자리는 다음을 시작하는 사람에게 큰 응원이 됩니다.""",,
,교실의 온도 (수업 및 학습 매너),조별 과제,1인분의 책임,내가 맡은 역할은 기한 내에 최선을 다해 마무리하기,"""당신의 성실함이 팀 전체의 어깨를 가볍게 만듭니다.""",,
,교실의 온도 (수업 및 학습 매너),스마트폰,침묵의 집중,수업 중엔 무음 모드를 확인하고 가방 속에 넣어두기,"""폰을 내려놓는 순간, 지식과 친구에게 집중할 시간이 열립니다.""",,
,교실의 온도 (수업 및 학습 매너),뒷좌석 배려,의자의 평화,무심코 앞 의자를 발로 차거나 밀지 않도록 주의하기,"""당신의 발끝에 담긴 조심스러움이 앞사람의 평온을 지킵니다.""",,
,교실의 온도 (수업 및 학습 매너),질문과 답변,눈맞춤의 대화,선생님이나 발표자의 질문에 고개를 끄덕이며 반응하기,"""당신의 작은 끄덕임은 말하는 이에게 가장 큰 힘이 됩니다.""",,
,교실의 온도 (수업 및 학습 매너),칠판 지우기,먼지 없는 배려,칠판을 지울 때 가루가 날리지 않도록 위에서 아래로 천천히 지우기,"""보이지 않는 공기까지 생각하는 마음이 교실을 맑게 합니다.""",,
,교실의 온도 (수업 및 학습 매너),노트 공유,나눔의 기쁨,필기를 놓친 친구에게 흔쾌히 노트를 보여주며 격려하기,"""지식은 나눌수록 커지고, 우정은 나눌수록 깊어집니다.""",,
,교실의 온도 (수업 및 학습 매너),자습 시간,책장의 무게,조용한 시간엔 책장을 넘기거나 필기구를 놓을 때 소리 죽이기,"""당신의 정숙함은 모두의 몰입을 돕는 훌륭한 배려입니다.""",,
,교실의 온도 (수업 및 학습 매너),교실 환기,신선한 공기,체육 수업이나 점심시간 후 창문을 열어 환기하기,"""함께 마시는 공기를 챙기는 마음은 공동체의 시작입니다.""",,
,교실의 온도 (수업 및 학습 매너),사물함 사용,닫힘의 예절,사물함 문을 닫을 때 '쾅' 소리가 나지 않게 끝까지 손으로 잡기,"""작은 소음의 배려가 모여 평화로운 교실이 됩니다.""",,
,교실의 온도 (수업 및 학습 매너),바닥 쓰레기,슬쩍 줍기,내 쓰레기가 아니더라도 바닥에 떨어진 것을 조용히 줍기,"""당신이 지나간 자리는 늘 단정하고 아름답습니다.""",,
,교실의 온도 (수업 및 학습 매너),책 대여,원형의 보존,빌린 책은 페이지를 접거나 낙서하지 않고 소중히 읽기,"""물건에 담긴 주인의 마음까지 빌려왔음을 기억하세요.""",,
,교실의 온도 (수업 및 학습 매너),이동 수업,빈 책상의 미학,이동 전 내 책상 위를 깨끗이 비워 다음 사람이 편하게 쓰게 하기,"""남겨진 깨끗함에서 당신의 고운 품격이 드러납니다.""",,
,교실의 온도 (수업 및 학습 매너),게시판 보호,게시물의 존중,교실 뒤 게시판의 작품이나 안내문을 훼손하지 않기,"""타인의 노력을 아끼는 마음이 당신의 노력을 빛나게 합니다.""",,
,교실의 온도 (수업 및 학습 매너),별명 사용,이름의 가치,상처가 될 수 있는 별명 대신 다정한 이름을 불러주기,"""올바른 호칭 하나가 상대방의 자존감을 지켜주는 울타리가 됩니다.""",,
,교실의 온도 (수업 및 학습 매너),복도 통행,걸음의 매너,복도에서 뛰지 않고 우측통행하며 소란 피우지 않기,"""당신의 차분한 걸음이 학교의 질서를 아름답게 만듭니다.""",,
,교실의 온도 (수업 및 학습 매너),교무실 방문,노크의 무게,교무실에 들어갈 때 정중히 노크하고 용건을 말하기,"""예의 있는 첫인사가 당신의 말에 무게를 더해줍니다.""",,
,교실의 온도 (수업 및 학습 매너),하교 정돈,내 자리의 끝,학교를 떠나기 전 책상 서랍과 의자를 한 번 더 확인하기,"""끝맺음이 좋은 사람은 어디서든 환영받는 존재가 됩니다.""",,
,교실의 온도 (수업 및 학습 매너),모르는 질문,친절한 튜터,모르는 걸 묻는 친구에게 귀찮아하지 않고 차근차근 설명하기,"""가르쳐주는 기쁨 속에 당신의 실력도 함께 자라납니다.""",,
,교실의 온도 (수업 및 학습 매너),수업 중 소통,귓속말의 예의,꼭 필요한 대화는 수업 흐름을 방해하지 않게 아주 작게 하기,"""짧은 배려가 수업의 몰입을 방해하지 않는 배려가 됩니다.""",,
,교실의 온도 (수업 및 학습 매너),보드마카,뚜껑의 책임,다 쓴 마카는 꼭 닫아 다음 사람이 바로 쓸 수 있게 하기,"""사소한 마무리가 타인의 당황스러움을 막아주는 마법입니다.""",,
,교실의 온도 (수업 및 학습 매너),필통 낙하,함께 줍기,필통을 떨어뜨린 친구를 위해 같이 필기구를 주워주기,"""허리 숙인 당신의 따뜻함에 친구의 민망함이 녹아내립니다.""",,
,교실의 온도 (수업 및 학습 매너),비품 아끼기,우리라는 가치,"학급 공용 비품(풀, 가위 등)을 내 물건처럼 아껴 쓰기","""함께 쓰는 물건을 아끼는 마음에서 리더십이 싹텄습니다.""",,
,교실의 온도 (수업 및 학습 매너),체육 기구,정리의 매너,체육 시간 후 빌린 공이나 기구는 제자리에 반납하기,"""정리된 공간에서 다음 수업의 활기가 시작됩니다.""",,
,교실의 온도 (수업 및 학습 매너),선생님과의 인사,눈맞춤의 마법,등교하거나 복도에서 선생님을 뵈면 눈을 맞추며 인사하기,"""반가운 인사는 당신과 선생님 사이의 다리가 됩니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),늦은 밤 알림,방해 금지 매너,모두가 잠든 시간이나 이른 아침에는 불필요한 톡 자제하기,"""상대의 휴식을 지켜주는 침묵도 훌륭한 대화입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),읽씹 방지,작은 이모지,바로 답하기 어려울 땐 '확인'을 의미하는 이모지라도 남기기,"""작은 반응 하나가 상대의 기다림을 안심으로 바꿉니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),공지 확인,정독의 약속,단톡방의 공지사항은 끝까지 읽고 '확인' 댓글 달기,"""공지를 읽는 꼼꼼함이 팀의 혼란을 막는 등불이 됩니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),사진 공유,허락의 절차,친구의 엽기적인 사진이나 영상은 당사자 허락 후 공유하기,"""친구의 웃음만큼이나 친구의 입장을 먼저 생각해주세요.""",,
,단톡방의 품격 (디지털 및 SNS 매너),퇴장의 예절,아름다운 작별,단톡방을 나갈 때는 짧게라도 이유를 말하거나 인사하기,"""말 한마디의 작별 인사가 남아있는 이들에게 예의가 됩니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),갑툭튀 대화,흐름의 존중,대화 중인 흐름과 상관없는 사적인 내용은 나중에 올리기,"""대화의 맥락을 살피는 당신은 센스 있는 소통가입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),특정인 소외,모두의 대화,단톡방에서 특정 친구만 아는 이야기로 소외시키지 않기,"""모두가 웃을 수 있는 대화가 단톡방의 온도를 높입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),루머 차단,진실의 필터,확인되지 않은 소문이나 링크는 공유하지 않고 삭제하기,"""당신의 신중한 클릭이 깨끗한 디지털 세상을 만듭니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),감사 표현,고마움의 습관,질문에 답해준 친구에게는 반드시 '고마워'라고 말하기,"""고맙다는 말은 대답해준 이의 시간을 가치 있게 만듭니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),맞춤법,배려의 문장,맞춤법을 지나치게 따지기보다 이해하기 쉽게 다정히 쓰기,"""글자 너머에 있는 사람의 마음을 먼저 읽어주세요.""",,
,단톡방의 품격 (디지털 및 SNS 매너),이모지 도배,적절한 거리,과도한 스티커나 이모지 연타로 대화창 도배하지 않기,"""절제된 표현 속에 당신의 진심이 더 뚜렷하게 보입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),답장 재촉,기다림의 미학,상대가 '읽지 않음' 상태일 때 억지로 답장을 재촉하지 않기,"""누구에게나 답을 할 수 없는 각자의 시간이 있음을 기억하세요.""",,
,단톡방의 품격 (디지털 및 SNS 매너),비방 금지,악플의 방패,SNS 댓글에 욕설이나 비속어 대신 예쁜 말만 남기기,"""당신이 쓴 예쁜 글이 누군가에게는 오늘을 살 힘이 됩니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),모자이크,타인의 초상권,사진 배경에 찍힌 모르는 사람의 얼굴은 가리고 올리기,"""타인의 사생활을 존중하는 마음이 당신의 품격입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),게임 초대,취향의 존중,게임 초대 메시지를 무분별하게 보내 상대방 괴롭히지 않기,"""나에겐 즐거움이 누군가에겐 소음이 될 수 있음을 살피세요.""",,
,단톡방의 품격 (디지털 및 SNS 매너),화풀이 금지,감정의 로그아웃,기분이 나쁠 땐 톡을 보내기 전 잠시 폰을 내려두고 진정하기,"""잠시 멈춘 손가락이 평생 후회할 실수를 막아줍니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),계정 보안,비밀의 수호자,친구가 빌려준 아이디나 계정 정보는 절대 발설하지 않기,"""신뢰는 깨지기 쉽기에 더 소중히 다루어야 할 보물입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),출처 불명,안전한 링크,출처를 알 수 없는 링크는 친구들에게 함부로 권하지 않기,"""안전을 챙기는 신중함이 친구들을 보호하는 큰 힘이 됩니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),영상 통화,상황의 확인,"영상 통화를 걸기 전 ""지금 통화 가능해?""라고 먼저 묻기","""상대의 공간과 상황을 먼저 묻는 다정함이 돋보입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),온라인 수업,카메라의 매너,카메라를 켜야 할 땐 단정한 모습으로 참여해 수업 돕기,"""화면 속 당신의 태도가 가르치는 이에게는 큰 응원입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),부탁의 기술,마법의 단어,채팅으로 부탁할 땐 '부탁해'와 '미안해'를 꼭 덧붙이기,"""정중한 청유형 문장은 닫힌 마음도 기쁘게 열어줍니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),프로필 평가,사생활 존중,친구의 프로필 사진이나 상태 메시지를 비꼬거나 평가하지 않기,"""각자의 공간을 존중해줄 때 진정한 우정이 자라납니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),이별과 사과,직접 만남,중요한 사과나 이별은 톡보다 목소리를 들으며 직접 전하기,"""진심은 텍스트보다 눈빛과 숨결 속에 더 깊이 담깁니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),대용량 파일,미리 알림,큰 파일을 보낼 땐 상대의 데이터 상태를 고려해 미리 묻기,"""상대의 불편함을 미리 헤아리는 마음이 참 따뜻합니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),소외 친구,먼저 건네는 말,"단톡방에서 조용한 친구에게 ""어떻게 생각해?""라고 먼저 묻기","""당신의 작은 질문이 소외된 누군가를 다시 연결해줍니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),대면 집중,폰보다 사람,친구를 만났을 땐 폰을 가방에 넣고 오로지 서로에게 집중하기,"""지금 이 순간, 당신 앞의 사람보다 소중한 소식은 없습니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),단톡방 공지,게시의 예의,중요한 일은 공지 기능을 써서 대화에 묻히지 않게 하기,"""효율적인 소통이 모두의 시간을 아껴주는 지혜입니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),비속어 지양,언어의 정원,텍스트 대화에서 거친 표현 대신 순화된 표현 사용하기,"""당신의 언어가 맑을수록 당신이 머무는 공간도 향기로워집니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),이모지 리액션,마음의 울림,메시지 하나하나에 '좋아요' 등의 리액션 기능을 활용하기,"""작은 리액션이 모여 대화의 끊김 없는 흐름을 만듭니다.""",,
,단톡방의 품격 (디지털 및 SNS 매너),디지털 발자국,책임의 기록,내가 남긴 모든 글이 기록됨을 기억하고 책임감 있게 쓰기,"""아름다운 발자국을 남기는 사람은 뒤태도 아름답습니다.""",,
,선을 지키는 우정 (교우 관계 매너),시간 약속,5분의 미학,약속 장소에 5분 먼저 도착해 친구를 맞이할 준비 하기,"""기다림을 설렘으로 바꾸는 당신의 5분은 가장 귀한 선물입니다.""",,
,선을 지키는 우정 (교우 관계 매너),고민 상담,침묵의 의리,친구가 털어놓은 비밀이나 고민은 절대 다른 곳에 옮기지 않기,"""당신의 굳게 다문 입술은 친구의 흔들리는 마음을 붙들어주는 기둥입니다.""",,
,선을 지키는 우정 (교우 관계 매너),장난과 실례,웃음의 온도계,내가 즐거워도 상대가 불편해 보인다면 즉시 장난 멈추기,"""상대방의 눈동자에 담긴 감정을 읽는 당신은 참 사려 깊은 사람입니다.""",,
,선을 지키는 우정 (교우 관계 매너),금전 거래,신뢰의 거리,"친구끼리 돈을 빌리지 않되, 빌렸다면 약속한 날 정오 전에 갚기","""돈보다 소중한 우정을 지키는 법은 약속을 칼같이 지키는 것입니다.""",,
,선을 지키는 우정 (교우 관계 매너),콤플렉스,보호의 언어,친구가 예민해하는 신체적 특징이나 가정사를 대화 소재로 삼지 않기,"""상처를 건드리지 않는 당신의 침묵이 친구에겐 가장 큰 위로가 됩니다.""",,
,선을 지키는 우정 (교우 관계 매너),간식 선물,감사의 화답,"친구가 사준 간식을 먹을 땐 ""진짜 맛있어, 고마워""라고 크게 말하기","""당신의 맛깔스러운 감사는 주는 이의 마음을 배로 부르게 합니다.""",,
,선을 지키는 우정 (교우 관계 매너),다툼과 화해,먼저 내민 손,잘못을 깨달았다면 자존심보다 먼저 미안하다고 말할 용기 내기,"""사과는 패배가 아니라, 관계를 지키고 싶은 당신의 커다란 용기입니다.""",,
,선을 지키는 우정 (교우 관계 매너),사생활,적당한 거리,친구가 먼저 말하기 전까지 개인적인 사정을 꼬치꼬치 캐묻지 않기,"""말하지 않아도 기다려주는 당신의 여유가 친구를 편안하게 합니다.""",,
,선을 지키는 우정 (교우 관계 매너),물건 반납,정성의 보답,빌린 물건은 깨끗하게 닦거나 정리해서 고맙다는 쪽지와 함께 주기,"""돌아온 물건에 담긴 정성에서 당신의 깊은 마음을 읽습니다.""",,
,선을 지키는 우정 (교우 관계 매너),뒷담화 방지,정면의 미덕,친구에 대해 할 말이 있다면 등 뒤가 아닌 얼굴을 보고 다정히 하기,"""뒤에서 하는 말은 독이 되지만, 앞에서 하는 말은 약이 됩니다.""",,
,선을 지키는 우정 (교우 관계 매너),성공 축하,진심의 박수,친구의 성적 향상이나 수상을 질투 없이 진심으로 축하해주기,"""친구의 기쁨을 내 것처럼 기뻐할 때 당신의 그릇도 커집니다.""",,
,선을 지키는 우정 (교우 관계 매너),슬픔 위로,곁을 지키는 힘,친구가 슬픈 일을 겪었을 땐 거창한 조언보다 옆에 가만히 있어 주기,"""아무 말 없이 곁을 내어주는 당신의 온기가 가장 뜨거운 위로입니다.""",,
,선을 지키는 우정 (교우 관계 매너),거절의 기술,다정한 거절,"친구의 제안을 못 할 땐 ""정말 고마운데, 이번엔 어렵겠어""라고 말하기","""부드러운 거절은 상대의 제안을 존중하며 나를 지키는 선순환입니다.""",,
,선을 지키는 우정 (교우 관계 매너),우산 공유,기울임의 미학,우산을 같이 썼을 때 내 어깨가 젖더라도 우산을 친구 쪽으로 기울이기,"""기울어진 우산 각도만큼 당신의 우정도 깊어지고 있습니다.""",,
,선을 지키는 우정 (교우 관계 매너),취향 존중,다름의 인정,친구의 새로운 취미나 취향이 나와 달라도 존중하고 궁금해하기,"""서로 다른 색깔이 모여야 세상은 비로소 무지개처럼 빛납니다.""",,
,선을 지키는 우정 (교우 관계 매너),작은 보답,마음의 증표,큰 도움을 받았을 땐 작은 기프티콘이나 편지로 마음 전하기,"""작은 보답에 담긴 '기억하고 있음'이 인연을 보석으로 만듭니다.""",,
,선을 지키는 우정 (교우 관계 매너),허락 구하기,소유의 경계,"친한 사이라도 친구의 물건을 만질 땐 반드시 ""써도 돼?""라고 묻기","""허락을 구하는 짧은 문장이 친구 사이의 예의를 완성합니다.""",,
,선을 지키는 우정 (교우 관계 매너),대면 대화,눈맞춤의 가치,친구와 대화할 때는 스마트폰을 가방에 넣고 눈을 맞추기,"""폰 화면 속 세상보다 당신 앞의 친구가 훨씬 소중함을 잊지 마세요.""",,
,선을 지키는 우정 (교우 관계 매너),부모님 인사,어른의 공경,친구 부모님을 뵈었을 땐 밝고 씩씩하게 인사드리기,"""당신의 밝은 인사가 친구의 집안 분위기까지 환하게 만듭니다.""",,
,선을 지키는 우정 (교우 관계 매너),약속 취소,배려의 속도,약속을 못 지키게 되었다면 이유를 설명하고 가능한 한 빨리 알리기,"""빨리 전하는 미안함은 상대방의 아까운 시간을 아껴줍니다.""",,
,선을 지키는 우정 (교우 관계 매너),금기 사항,기억의 배려,친구가 싫어한다고 말했던 행동은 잊지 않으려 노력하고 반복 안 하기,"""상대의 싫어함을 기억해주는 것, 그것이 사랑의 시작입니다.""",,
,선을 지키는 우정 (교우 관계 매너),정정당당,경쟁의 매너,성적이나 운동 시합에서 결과에 승복하고 상대의 실력 인정하기,"""당당하게 경쟁하고 겸손하게 승복하는 당신은 이미 챔피언입니다.""",,
,선을 지키는 우정 (교우 관계 매너),고민 경청,마음의 귀,"친구의 고민을 들을 땐 판단하지 말고 ""그랬구나""라고 공감해주기","""당신의 공감 어린 끄덕임은 친구의 답답한 가슴을 뻥 뚫어줍니다.""",,
,선을 지키는 우정 (교우 관계 매너),소외 방지,세 명의 대화,셋이 놀 때 특정 친구와만 속닥거리지 않고 모두가 대화에 끼게 하기,"""모두를 아우르는 당신의 시선이 우리를 진정한 하나로 만듭니다.""",,
,선을 지키는 우정 (교우 관계 매너),방문 매너,손님의 정석,친구 집에 놀러 갔을 때 내 자리를 정리하고 가족분들께 인사 잘하기,"""머물다 간 자리가 깨끗한 사람에겐 언제나 다시 오라는 문이 열립니다.""",,
,선을 지키는 우정 (교우 관계 매너),질문 매너,물음의 예절,친구가 곤란해하는 표정을 지으면 더 이상 묻지 않고 화제 전환하기,"""상대의 침묵을 읽어주는 당신의 센스가 관계의 숨통을 틔웁니다.""",,
,선을 지키는 우정 (교우 관계 매너),경청의 자세,가로채지 않기,친구가 말을 마칠 때까지 끊지 않고 끝까지 들어주기,"""이야기를 끝까지 들어주는 인내심이 상대의 마음을 여는 열쇠입니다.""",,
,선을 지키는 우정 (교우 관계 매너),실수 다독임,관용의 한마디,"친구가 실수했을 때 ""나도 그랬어, 괜찮아""라고 먼저 다독여주기","""당신의 너그러운 한마디가 친구의 자책감을 사르르 녹여줍니다.""",,
,선을 지키는 우정 (교우 관계 매너),꿈 응원,희망의 메아리,"친구가 허무맹랑한 꿈을 말하더라도 웃지 않고 ""멋진데!""라고 응원하기","""당신의 작은 응원이 친구의 미래를 바꾸는 커다란 씨앗이 됩니다.""",,
,선을 지키는 우정 (교우 관계 매너),감미 표현,표현의 습관,고마움(감사)과 미안함(미안)을 아끼지 않고 그때그때 표현하기,"""표현되지 않은 마음은 전달되지 않습니다. 아낌없이 말해주세요.""",,
,공유 공간의 마법 (학교 시설 및 공용 공간),급식 줄,질서의 약속,새치기하지 않고 앞사람과의 간격을 적당히 유지하며 차례 기다리기,"""당신의 차분한 기다림이 모두의 즐거운 식사 시간을 보장합니다.""",,
,공유 공간의 마법 (학교 시설 및 공용 공간),배식 감사,인사의 기적,"배식해 주시는 분들께 밝게 웃으며 ""잘 먹겠습니다""라고 인사하기","""당신의 다정한 한마디는 정성껏 음식을 준비한 분들의 보람이 됩니다.""",,
,공유 공간의 마법 (학교 시설 및 공용 공간),식사 마무리,자리의 흔적,음식을 흘렸다면 다음 사람을 위해 내 자리를 냅킨으로 닦기,"""당신이 머물다 간 자리에서 타인에 대한 존중이 느껴집니다.""",,
