,,,
,지혜로운 대화법 (대화 및 관계 매너),비밀 유지,입 무거운 선배,누군가 믿고 말해준 이야기는 절대 다른 곳에 옮기지 않기,"""당신의 굳게 다문 입술이 사람들을 당신 곁으로 모이게 하는 신뢰의 뿌리입니다.""",,
,여가의 정석 (산책로 및 취미 활동),등산/산책,음악의 공유 금지,산행 중 스마트폰이나 라디오 스피커를 크게 틀지 않기,"""자연의 소리를 함께 즐기려는 당신의 침묵이 산행의 가치를 높입니다.""",,
,여가의 정석 (산책로 및 취미 활동),산책로 우측,보행의 질서,"좁은 산책로에서는 우측으로 걷고, 길 중간에 멈춰 서지 않기","""길 위의 약속을 지키는 당신 덕분에 모두의 발걸음이 가벼워집니다.""",,
,여가의 정석 (산책로 및 취미 활동),공공 벤치,쉼터의 나눔,혼자 자리를 넓게 차지하지 않고 옆 사람도 앉을 수 있게 배려하기,"""당신이 내어준 벤치 한 칸이 지친 행인에게는 가장 따뜻한 의자가 됩니다.""",,
,여가의 정석 (산책로 및 취미 활동),운동 기구,사용의 독점 금지,공원 운동 기구는 한 번에 15분 내외로 쓰고 다음 사람에게 양보하기,"""기구를 나누어 쓰는 당신의 넉넉한 인심이 공원을 행복한 놀이터로 만듭니다.""",,
,여가의 정석 (산책로 및 취미 활동),쓰레기 회수,흔적 없는 퇴장,산이나 공원에서 발생한 쓰레기는 반드시 집으로 가져가거나 분리수거하기,"""당신이 지나간 자리의 깨끗함에서 품격 있는 어른의 향기가 느껴집니다.""",,
,여가의 정석 (산책로 및 취미 활동),인사 매너,가벼운 목례,산길에서 마주치는 사람들에게 가볍게 고개를 숙여 인사하기,"""반가운 눈인사 한 번에 낯선 산길이 다정한 이웃의 길로 바뀝니다.""",,
,여가의 정석 (산책로 및 취미 활동),임산물 보호,자연의 존중,등산로 주변의 산나물이나 꽃을 함부로 채취하거나 꺾지 않기,"""숲을 지키는 당신의 신중한 손길이 다음 세대에게 아름다운 자연을 물려줍니다.""",,
,여가의 정석 (산책로 및 취미 활동),애완견 동반,매너 벨트와 목줄,반려견과 산책 시 반드시 목줄을 착용하고 배설물은 즉시 치우기,"""생명을 책임지는 당신의 바른 습관이 성숙한 반려 문화를 만듭니다.""",,
,여가의 정석 (산책로 및 취미 활동),공공 화장실,깨끗한 뒤처리,공원 화장실 사용 후엔 세면대 물기를 닦고 휴지는 아껴 쓰기,"""작은 정리가 선사하는 쾌적함은 당신이 다음 이웃에게 전하는 선물입니다.""",,
,여가의 정석 (산책로 및 취미 활동),문화 센터,수업 준비의 예의,강의 시작 10분 전에 도착해 조용히 자리에 앉아 기다리기,"""시간을 지키는 당신의 정중함이 배움의 가치를 더욱 빛나게 합니다.""",,
,여가의 정석 (산책로 및 취미 활동),강의 집중,휴대폰 매너,수업 중에는 휴대폰을 진동으로 하고 가급적 가방에 넣어두기,"""강사와 동료에게 집중하는 당신의 눈빛이 강의실의 온도를 높입니다.""",,
,여가의 정석 (산책로 및 취미 활동),수업 중 질문,배려의 질문,나만 아는 질문을 길게 하기보다 모두에게 도움 되는 질문 짧게 하기,"""전체를 생각하는 당신의 사려 깊은 질문이 풍성한 배움을 완성합니다.""",,
,여가의 정석 (산책로 및 취미 활동),취미 도구,정리의 습관,"탁구, 배드민턴 등 공용 도구를 사용한 후엔 반드시 제자리에 두기","""물건의 자리를 지켜주는 당신의 세심함이 모두의 즐거움을 지킵니다.""",,
,여가의 정석 (산책로 및 취미 활동),텃밭 매너,경계의 준수,공동 텃밭에서 남의 작물을 만지지 않고 내 영역만 정성껏 가꾸기,"""선택된 영역을 성실히 가꾸는 당신의 땀방울이 신뢰라는 열매를 맺습니다.""",,
,여가의 정석 (산책로 및 취미 활동),사진 매너,배경의 배려,풍경 사진을 찍을 때 다른 사람의 얼굴이 나오지 않도록 각도 조절하기,"""타인의 초상권까지 챙기는 당신의 세심함은 참 수준 높은 어른의 자세입니다.""",,
,여가의 정석 (산책로 및 취미 활동),공연장 매너,공연 중 정숙,전시회나 공연 관람 시 옆 사람과 소곤거리며 대화하지 않기,"""당신의 정숙한 관람 태도가 예술 작품의 가치를 온전히 지켜줍니다.""",,
,여가의 정석 (산책로 및 취미 활동),대기 예약,노쇼 금지,취미 강좌나 시설 예약을 했다면 못 갈 경우 미리 알려 취소하기,"""약속을 소중히 여기는 당신의 신뢰가 더 많은 기회를 세상에 선물합니다.""",,
,여가의 정석 (산책로 및 취미 활동),도서관 매너,책장의 보존,"빌린 책은 깨끗이 보고, 읽은 후엔 북트럭에 바르게 놓기","""책을 아끼는 당신의 손길에서 지식에 대한 깊은 경의가 느껴집니다.""",,
,여가의 정석 (산책로 및 취미 활동),공공 샤워실,수질의 보호,수영장이나 목욕탕 사용 전 반드시 몸을 깨끗이 씻고 들어가기,"""공용 수질을 지키는 당신의 청결한 습관이 모두의 건강을 지킵니다.""",,
,여가의 정석 (산책로 및 취미 활동),음식 나눔,사전 양해,모임에서 음식을 나누어 줄 땐 상대가 먹어도 되는지 먼저 묻기,"""취향을 먼저 살피는 당신의 한 번 더 묻는 습관이 참 다정합니다.""",,
,여가의 정석 (산책로 및 취미 활동),조용한 쉼터,소음의 절제,정자나 쉼터에서 낮잠을 자거나 크게 코를 골지 않도록 주의하기,"""타인의 휴식을 방해하지 않는 당신의 조심스러움이 공간을 평화롭게 합니다.""",,
,여가의 정석 (산책로 및 취미 활동),자전거 매너,전용 도로 준수,자전거를 탈 땐 보행자를 우선시하고 추월 시 미리 신호 주기,"""안전을 생각하는 당신의 신중한 운전이 즐거운 여가 생활의 기본입니다.""",,
,여가의 정석 (산책로 및 취미 활동),공원 금연,맑은 공기 수호,금연 구역을 철저히 지키고 꽁초는 반드시 재떨이에 버리기,"""깨끗한 공기를 지키는 당신의 솔선수범이 아이들에게 가장 큰 교육이 됩니다.""",,
,여가의 정석 (산책로 및 취미 활동),야외 식사,깔끔한 뒷정리,도시락을 먹은 후엔 냄새가 남지 않게 주변을 정리하고 환기하기,"""머물다 간 자리의 단정함에서 멋진 어른의 품격이 고스란히 드러납니다.""",,
,여가의 정석 (산책로 및 취미 활동),기다림의 예절,키오스크 양보,주문 기계가 낯선 사람에게 화내지 않고 천천히 가르쳐주거나 기다리기,"""여유로운 기다림을 아는 당신의 마음이 세상의 온도를 1도 더 높입니다.""",,
,여가의 정석 (산책로 및 취미 활동),공공기관 비품,자원의 아낌,"주민센터 등의 공용 비품(풀, 가위)을 내 것처럼 아껴 쓰기","""작은 자원까지 소중히 여기는 당신의 태도에 깊은 주인의식이 담겨 있습니다.""",,
,여가의 정석 (산책로 및 취미 활동),마을 문고,질서 있는 대출,책을 빌릴 땐 정해진 기한을 지키고 다른 사람을 위해 빨리 반납하기,"""기한을 지키는 당신의 정직함이 지식의 나눔을 원활하게 돕습니다.""",,
,여가의 정석 (산책로 및 취미 활동),취미 동호회,겸손의 참여,내 실력을 자랑하기보다 초보자를 배려하고 함께 즐기는 분위기 만들기,"""함께 즐기는 즐거움을 아는 당신은 동호회에서 가장 환영받는 리더입니다.""",,
,여가의 정석 (산책로 및 취미 활동),공원 정원,시각적 감상,정원의 꽃을 만지거나 밟지 않고 눈으로만 예쁘게 감상하기,"""생명을 아끼는 당신의 고운 시선이 정원을 더욱 아름답게 가꿉니다.""",,
,여가의 정석 (산책로 및 취미 활동),즐거운 안녕,다음의 기약,활동이 끝난 후 주변을 함께 정리하고 미소로 작별 인사 나누기,"""마지막까지 함께하는 당신의 책임감 있는 모습이 내일을 더 기대하게 합니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),자녀 집 방문,사전 연락의 예의,가깝게 살아도 자녀 집 방문 전엔 반드시 미리 연락하고 허락 구하기,"""상대의 생활을 존중하는 노크 소리가 가족 사이의 신뢰를 더 깊게 합니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),육아 방식,양육의 경계 준수,손주 육아는 자녀 부부의 방식을 우선시하고 내 고집을 내세우지 않기,"""뒤에서 묵묵히 응원해주는 당신의 믿음이 자녀에겐 가장 큰 육아 지침서입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),손주 간식,간식의 동의,"손주에게 간식이나 선물을 주기 전 부모에게 먼저 ""줘도 될까?"" 묻기","""한 번 더 묻는 당신의 세심함이 자녀 부부의 교육관을 존중하는 사랑입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),경제적 지원,주되 잊어버리기,금전적 도움을 주었다면 생색내거나 간섭의 빌미로 삼지 않기,"""대가를 바라지 않는 당신의 넉넉한 나눔이 진정한 사랑의 무게를 보여줍니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),영상 통화,짧고 굵은 다정함,자녀와의 영상 통화는 반가워도 10분 내외로 짧고 즐겁게 마무리하기,"""아쉬울 때 멈추는 당신의 여유가 다음 통화를 더 기다려지게 만듭니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),며느리/사위,손님 같은 가족,"며느리나 사위를 내 자식처럼 편하게 대하되, 손님처럼 예우하며 대하기","""적당한 거리와 예우 속에 당신을 향한 진심 어린 존경이 싹텄습니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),가족 단톡방,침묵의 응원,자녀들의 대화에 사사건건 개입하기보다 이모지로 가볍게 응원하기,"""당신의 작은 하트 하나가 멀리 있는 자녀들의 어깨를 다독여주는 손길이 됩니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),조언의 기술,부탁할 때 말하기,자녀가 고민을 털어놓으며 먼저 조언을 구할 때까지 묵묵히 지켜봐 주기,"""기다려주는 당신의 침묵은 자녀가 스스로 일어서는 힘을 길러주는 비료입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),가족 기념일,생일의 축하,자녀나 손주의 기념일을 기억해두고 짧은 축하 메시지나 편지 전하기,"""기억해주는 마음보다 더 큰 선물은 없습니다. 당신은 우리 가족의 보석입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),건강 관리,아프지 않는 효도,정기적인 검진과 운동으로 내 건강을 스스로 챙기는 모습 보여주기,"""건강하게 곁에 있어 주는 당신의 존재 자체가 자녀들에겐 최고의 효도입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),집안일 도움,조용한 일손,자녀 집에 갔을 때 큰일보다 설거지 돕기 등 작은 일부터 슬쩍 돕기,"""말없이 내미는 당신의 일손에 자녀의 고단한 하루가 기쁨으로 바뀝니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),손주 훈육,칭찬의 할머니/할아버지,손주를 야단치기보다 좋은 점을 찾아 듬뿍 칭찬하고 기 살려주기,"""당신의 아낌없는 칭찬은 손주의 자존감을 키우는 가장 튼튼한 뿌리가 됩니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),비교 금지,엄친아 언급 금지,"""누구네 집 자식은~"" 하며 남과 비교하는 대화 소재 절대 피하기","""내 자식의 오늘을 온전히 긍정하는 당신의 넓은 품이 가족의 행복입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),식사 메뉴,자녀 취향 우선,가족 모임 식사 시 내가 먹고 싶은 것보다 자녀와 손주 입맛 고려하기,"""상대의 식성까지 챙기는 당신의 넉넉한 식탁에서 사랑이 모락모락 피어납니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),방문 매너,머문 자리 정돈,자녀 집에서 머물다 갈 때 내가 사용한 이부자리와 방을 깔끔히 정리하기,"""나간 자리가 정갈한 당신의 뒷모습에서 멋진 어른의 향기가 느껴집니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),전화 안부,다정한 용건,"용건만 말하기보다 ""목소리 듣고 싶어 전화했다""고 먼저 말해주기","""당신의 다정한 말 한마디가 전화기 너머 자녀의 지친 마음을 사르르 녹입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),명절 예절,간소화의 미덕,명절이나 제사 등 가사를 줄이고 함께 즐기는 문화를 먼저 제안하기,"""형식보다 사람을 아끼는 당신의 깨어있는 생각이 명절을 축제로 만듭니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),반찬 선물,일회용기 활용,반찬을 해줄 땐 돌려받아야 하는 통보다 일회용기나 선물용기에 담기,"""그릇 반납의 부담까지 덜어주는 당신의 세심함이 참으로 사려 깊습니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),손주와 놀기,눈높이 맞춤,손주와 놀아줄 땐 내 방식이 아닌 아이의 상상력과 속도에 맞춰주기,"""아이의 눈으로 세상을 함께 봐주는 당신은 손주에게 최고의 친구입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),자녀의 취미,관심의 표현,자녀가 즐기는 취미나 일에 대해 진지하게 물어보고 응원해주기,"""자녀의 세계에 호기심을 갖는 당신의 태도가 세대 차이를 허무는 열쇠입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),부정적 언어,한탄하지 않기,자녀를 만났을 때 신세 한탄이나 아픈 소리보다 즐거운 소식 먼저 나누기,"""당신의 밝은 에너지는 만나는 가족 모두의 마음을 환하게 밝히는 등불입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),과거 사과,옛일의 매너,혹시 과거에 자녀에게 상처 준 일이 떠오른다면 늦더라도 사과하기,"""미안함을 표현하는 당신의 용기가 맺혔던 가족의 응어리를 풀어주는 기적입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),개인 시간,각자의 주말,주말마다 가족 모임을 강요하지 않고 자녀들의 휴식 시간 존중해주기,"""혼자만의 시간을 허락하는 당신의 여유가 가족을 더 애틋하게 만듭니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),정치/종교,강요하지 않기,내 가치관이나 종교를 자녀나 손주에게 억지로 주입하지 않기,"""서로의 다름을 인정하는 당신의 포용력이 가족이라는 숲을 푸르게 가꿉니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),칭찬 전달,제3자의 칭찬,"남들이 자녀를 칭찬했던 이야기를 전하며 ""네가 자랑스럽다"" 말하기","""남의 입을 빌린 당신의 칭찬은 자녀의 가슴 속에 자부심의 꽃을 피웁니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),디지털 도움,감사의 인사,"폰 사용법을 가르쳐준 자녀에게 ""귀찮았을 텐데 고마워""라고 인사하기","""당신의 고마움 한마디에 자녀는 다시금 부모님을 돕고 싶어집니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),선물의 기술,필요한 것 묻기,"선물을 사주기 전 ""필요한 게 뭐니?""라고 묻거나 현금/상품권 활용하기","""실용성까지 고려하는 당신의 합리적인 선물이 자녀의 만족을 더합니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),손주 칭찬,부모 앞에서 칭찬,"손주를 칭찬할 땐 ""네가 잘 키워서 그래""라며 자녀의 공로 인정하기","""자녀의 노고를 알아주는 당신의 말 한마디가 최고의 위로이자 보상입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),외모 지적,있는 그대로 수용,"자녀의 옷차림이나 헤어스타일에 대해 지적보다 ""개성 있다""고 해주기","""있는 그대로를 사랑해주는 당신의 눈길이 세상에서 가장 따뜻한 집입니다.""",,
,가족의 든든한 울타리 (자녀 및 손주 매너),사랑해,마지막 마침표,"헤어지거나 전화를 끊을 때 ""사랑한다""는 말 한마디 꼭 건네기","""당신의 마지막 고백은 가족 모두에게 평생 잊지 못할 든든한 보호막이 됩니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),아침 세안,청결의 첫 단추,외출 계획이 없더라도 아침에 일어나 세수하고 머리를 정갈히 빗기,"""나를 돌보는 정성스러운 아침 의식이 당신의 하루를 더 고귀하게 만듭니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),의복 관리,주름 없는 품격,"옷은 늘 깨끗하게 세탁하고, 구겨진 옷은 다림질해서 단정히 입기","""정갈한 옷차림은 나 자신을 존중하고 타인을 예우하는 가장 멋진 매너입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),향기 관리,은은한 배려,옷에서 눅눅한 냄새가 나지 않게 관리하고 가벼운 향기 챙기기,"""당신이 지나간 자리에 남은 상쾌한 향기는 품격 있는 어른의 인장을 찍습니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),바른 자세,허리의 꼿꼿함,앉거나 걸을 때 허리를 펴고 당당한 자세를 유지하려 노력하기,"""곧게 펴진 당신의 등에서 세월을 이겨낸 당당한 자부심이 느껴집니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),구강 청결,대화의 예의,"식후엔 반드시 양치하고, 대화 전 껌이나 사탕으로 입 냄새 관리하기","""청결한 숨결 속에 담긴 당신의 말 한마디는 신뢰를 부르는 향기가 됩니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),손톱 관리,손끝의 단정,손톱을 늘 짧고 깨끗하게 정리하여 청결한 인상 주기,"""작은 손끝까지 세심하게 관리하는 당신의 꼼꼼함에서 연륜이 빛납니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),신발 관리,발밑의 정돈,낡은 신발이라도 깨끗하게 닦아 신고 뒷축을 꺾어 신지 않기,"""깨끗한 신발을 신은 당신의 발걸음이 오늘 당신을 더 좋은 곳으로 안내합니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),배움의 열정,멈추지 않는 탐구,"새로운 책을 읽거나 악기, 운동 등 새로운 취미 하나를 계속 배우기","""늘 배우는 당신의 뇌는 나이를 먹지 않는 가장 젊은 보물창고입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),시간 엄수,약속의 무게,친구와의 약속이나 병원 예약 시간은 10분 먼저 도착해 대기하기,"""시간을 소중히 여기는 당신의 성실함이 세상에서 가장 강력한 신용등급입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),소지품 정리,가방 안의 질서,가방이나 주머니 안의 소지품을 분류하여 찾기 쉽게 정리해두기,"""주변을 정돈하는 당신의 습관이 복잡한 세상 속에서 마음의 안정을 지켜줍니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),언어의 품격,비속어 지양,화가 날 때도 거친 말 대신 조목조목 논리적이고 품위 있는 언어 쓰기,"""당신이 사용하는 고운 언어는 당신의 인생을 대변하는 가장 아름다운 시입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),디지털 금식,사색의 시간,하루 중 일정 시간은 스마트폰을 끄고 조용히 창밖을 보거나 명상하기,"""기계를 내려놓고 나와 마주하는 당신의 고독은 가장 깊은 지혜를 낳습니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),이웃 인사,먼저 건네는 눈빛,엘리베이터나 동네에서 마주치는 이웃에게 먼저 가볍게 목례하기,"""당신의 반가운 눈인사 하나가 차가운 아파트 단지를 따뜻한 동네로 바꿉니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),자기 긍정,칭찬의 거울,"매일 아침 거울을 보며 ""오늘도 참 멋지다""고 자신에게 말해주기","""나를 사랑할 줄 아는 사람만이 타인에게도 진정한 사랑을 베풀 수 있습니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),건강 식습관,소식의 지혜,과식하지 않고 천천히 씹어 먹으며 정갈한 식사 태도 유지하기,"""절제된 식사 습관에서 당신의 건강한 삶과 고결한 의지가 엿보입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),표정 관리,미소 짓는 연습,평소 입꼬리를 살짝 올리는 연습을 하여 인자한 인상 만들기,"""당신의 은은한 미소는 보는 이의 마음까지 평화롭게 만드는 마법의 거울입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),환경 보호,작은 절약,"양치 컵 사용하기, 분리수거 철저히 하기 등 지구를 위한 습관 갖기","""지구를 아끼는 당신의 작은 손길이 미래 세대에게 주는 가장 큰 선물입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),적당한 운동,매일의 산책,하루 30분 산책 등 꾸준한 운동으로 활기찬 신체 리듬 유지하기,"""땀 흘리는 당신의 모습에서 성실함과 생명력이 뜨겁게 전해집니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),정직한 태도,거짓 없는 삶,사소한 일이라도 거짓말하지 않고 정직하게 말하고 행동하기,"""당신의 정직함은 어떤 화려한 수식어보다 당신을 더 빛나게 하는 훈장입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),겸손의 덕목,배움을 청함,젊은 세대의 감각이나 기술을 인정하고 배우려는 자세 갖기,"""겸손하게 고개를 숙이는 당신은 세상에서 가장 큰 지혜를 얻게 될 리더입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),부지런함,게으름의 경계,할 일을 내일로 미루지 않고 규칙적인 일과표에 맞춰 생활하기,"""규칙적인 생활 속에 깃든 당신의 성실함이 노후를 더 풍요롭게 만듭니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),기록의 습관,일기 쓰기,하루를 되돌아보며 짧게라도 감사한 일 세 가지를 매일 기록하기,"""감사를 기록하는 당신의 펜 끝에서 행복의 향기가 진하게 묻어납니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),사무용품,필기구 소지,가방에 늘 작은 수첩과 펜을 소지하여 중요한 것을 메모하기,"""준비된 당신의 메모 습관에서 놓치지 않는 지혜와 주도면밀함이 보입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),감정 컨트롤,화를 다스림,갑작스러운 화가 치밀 땐 '심호흡 3번'을 하며 감정 가라앉히기,"""감정을 다스리는 당신의 평정심이 주변 사람들을 안심시키는 기둥이 됩니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),나눔의 즐거움,작은 기부,큰 금액이 아니더라도 정기적으로 어려운 이웃을 위해 후원하기,"""나누는 손길을 가진 당신은 이 세상에서 가장 마음이 넉넉한 부자입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),위생 습관,손 씻기 생활화,외출 후와 식사 전엔 반드시 손을 깨끗이 씻어 건강 지키기,"""자신을 소중히 가꾸는 당신의 청결함이 가족의 평화와 안녕을 지킵니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),정리 정돈,안 쓰는 물건 나눔,1년 이상 쓰지 않은 물건은 버리거나 필요한 이웃에게 나누기,"""물건을 비우고 마음을 채우는 당신의 미니멀한 삶이 참 우아합니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),약속 신뢰,노쇼 금지,"식당이나 병원 예약은 반드시 지키고, 변경 시 즉시 알리기","""약속을 목숨처럼 아끼는 당신의 신용이 당신의 인생을 보증하는 명함입니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),취침 예절,정숙한 밤,밤늦게 TV 소리를 크게 하거나 큰 소음 내지 않도록 주의하기,"""이웃의 잠을 지켜주는 당신의 조용한 배려가 밤을 더 포근하게 만듭니다.""",,
,단정한 일상 (자기 관리 및 태도 매너),자부심,당당한 어른,"""나이가 들어서..""라는 말보다 ""나이라서 할 수 있어""라는 자부심 갖기","""세월이 빚어낸 당신의 모습은 그 자체로 이미 완벽하고 아름다운 예술입니다.""",,
,,,,,
